Sr. No.,NPCI Operated Systems,F.Y-2014-15,,F.Y-2015-16,,Apr'16,,May'16,,June'16,,July'16,,August'16,,September'16,,October'16,,November'16,,December'16,,January'17,,February'17,,March'17,,F.Y-2016-17,,Apr'17,,May'17,,Jun'17,,Jul'17,,Aug'17,,Sep'17,,Oct'17,,Nov'17,,Dec'17,,Jan'18,,Feb'18,,Mar'18,,F.Y-2017-18 (Apr'17 to Mar'18),,Apr'18,,May'18,,June'18,,July'18,,Aug'18,,Sep'18,,Oct'18,,Nov'18,,Dec'18,,Jan'19,,Feb'19,,Mar'19,,F.Y-2018-19,,Apr'19,,May'19,,Jun'19,,Jul'19,,Aug'19,,Sep'19,,Oct'19,,Nov'19,,Dec'19,,Jan'20,,Feb'20,,Mar'20,,F.Y-2019-20,,Apr'20,,May'20,,Jun'20,,Jul'20,,Aug'20,,Sep'20,,Oct'20,,Nov'20,,Dec'20,,Jan'21,,Feb'21,,Mar'21,,F.Y-2020-21,,Apr'21,,May'21,,Jun'21,,Jul'21,,Aug'21,,Sep'21,,Oct'21,,Nov'21,,Dec'21,,F.Y-2021-22,
,Financial Txns:,Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn)
1,NFS - National Financial Switch," 2,374.30 "," 8,311.67 "," 2,837.01 "," 9,993.22 ", 260.33 , 954.10 , 265.68 , 955.18 , 260.99 , 944.82 , 268.31 , 960.13 , 269.70 , 948.48 , 267.24 , 955.19 , 295.15 ," 1,103.79 ", 228.14 , 572.57 , 259.94 , 484.20 , 267.70 , 854.80 , 253.41 , 999.65 , 273.59 ," 1,085.49 "," 3,170.18 "," 10,818.39 ", 265.19 ," 1,071.15 ", 270.31 ," 1,073.50 ", 268.50 ," 1,062.34 ", 275.06 ," 1,022.59 ", 281.81 ," 1,037.82 ", 289.17 ," 1,079.94 ", 300.94 ," 1,150.79 ", 295.65 ," 1,100.12 ", 316.24 ," 1,185.43 ", 310.55 ," 1,163.62 ", 300.47 ," 1,150.09 ", 329.58 ," 1,260.09 "," 3,503.44 "," 13,357.49 ", 325.57 ," 1,291.08 ", 325.22 ," 1,270.22 ", 324.99 ," 1,281.22 ", 329.34 ," 1,230.99 ", 338.27 ," 1,260.59 ", 332.00 ," 1,218.19 ", 358.75 ," 1,330.15 ", 342.40 ," 1,299.49 ", 349.11 ," 1,287.33 ", 323.35 ," 1,190.36 ", 312.64 ," 1,158.39 ", 355.78 ," 1,307.61 "," 4,017.42 "," 15,125.64 ", 344.96 ," 1,308.39 ", 359.40 ," 1,367.56 ", 350.30 ," 1,321.01 ", 355.55 ," 1,292.80 ", 363.03 ," 1,333.54 ", 350.21 ," 1,276.79 ", 387.50 ," 1,488.53 ", 358.37 ," 1,331.79 ", 373.87 ," 1,374.94 ", 380.57 ," 1,420.15 ", 366.64 ," 1,392.81 ", 321.24 ," 1,243.08 "," 4,311.62 "," 16,151.40 ", 181.51 , 683.89 , 255.45 ," 1,025.83 ", 290.39 ," 1,186.89 ", 283.94 ," 1,177.60 ", 297.67 ," 1,217.38 ", 306.50 ," 1,243.41 ", 340.10 ," 1,412.45 ", 341.59 ," 1,434.97 ", 344.69 ," 1,418.79 ", 345.41 ," 1,409.37 ", 321.95 ," 1,322.46 ", 352.47 ," 1,454.97 "," 3,661.67 "," 14,988.02 ", 308.34 ," 1,314.74 ", 250.29 ," 1,073.80 ", 280.08 ," 1,183.78 ", 312.46 ," 1,287.41 ", 330.91 ," 1,327.83 ", 319.84 ," 1,294.47 ", 350.88 ," 1,464.72 ", 332.84 ," 1,392.28 ", 341.16 ," 1,407.79 "," 2,826.80 "," 11,746.80 "
1.1,NFS - ATM Cash Withdrawal *," 2,374.30 "," 8,311.67 "," 2,837.01 "," 9,993.22 ", 260.33 , 954.10 , 265.68 , 955.18 , 260.99 , 944.82 , 268.31 , 960.13 , 269.70 , 948.48 , 267.24 , 955.19 , 295.15 ," 1,103.79 ", 228.14 , 572.57 , 259.94 , 484.20 , 267.70 , 854.80 , 253.41 , 999.65 , 273.59 ," 1,085.49 "," 3,170.18 "," 10,818.39 ", 265.19 ," 1,071.15 ", 270.31 ," 1,073.50 ", 268.50 ," 1,062.34 ", 275.06 ," 1,022.59 ", 281.81 ," 1,037.82 ", 289.17 ," 1,079.94 ", 300.94 ," 1,150.79 ", 295.65 ," 1,100.12 ", 316.24 ," 1,185.43 ", 310.55 ," 1,163.62 ", 300.47 ," 1,150.09 ", 329.58 ," 1,260.09 "," 3,503.44 "," 13,357.49 ", 325.57 ," 1,291.08 ", 325.22 ," 1,270.22 ", 324.99 ," 1,281.22 ", 329.34 ," 1,230.99 ", 338.27 ," 1,260.59 ", 332.00 ," 1,218.19 ", 358.75 ," 1,330.15 ", 342.40 ," 1,299.49 ", 349.11 ," 1,287.33 ", 323.35 ," 1,190.36 ", 312.64 ," 1,158.39 ", 355.78 ," 1,307.61 "," 4,017.41 "," 15,125.62 ", 344.96 ," 1,308.39 ", 359.39 ," 1,367.56 ", 350.30 ," 1,321.00 ", 355.55 ," 1,292.80 ", 363.03 ," 1,333.53 ", 350.21 ," 1,276.79 ", 387.50 ," 1,488.53 ", 358.37 ," 1,331.78 ", 373.86 ," 1,374.93 ", 380.56 ," 1,420.12 ", 366.63 ," 1,392.70 ", 321.22 ," 1,242.86 "," 4,311.59 "," 16,150.98 ", 181.50 , 683.71 , 255.44 ," 1,025.63 ", 290.37 ," 1,186.62 ", 283.90 ," 1,177.24 ", 297.62 ," 1,216.92 ", 306.45 ," 1,242.86 ", 340.03 ," 1,411.59 ", 341.52 ," 1,434.22 ", 344.60 ," 1,417.79 ", 345.31 ," 1,408.29 ", 321.85 ," 1,321.38 ", 352.35 ," 1,453.58 "," 3,660.95 "," 14,979.84 ", 308.24 ," 1,313.45 ", 250.20 ," 1,072.70 ", 279.97 ," 1,182.67 ", 312.34 ," 1,286.11 ", 330.78 ," 1,326.37 ", 319.70 ," 1,292.98 ", 350.73 ," 1,463.05 ", 332.69 ," 1,390.70 ", 340.99 ," 1,406.08 "," 2,825.63 "," 11,734.12 "
1.2,NFS - Cash deposit transactions, -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, 0.00 , 0.00 ,,,,,,,,,,,,,,,,,,,,,,,,, 0.01 , 0.02 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.01 , 0.00 , 0.01 , 0.00 , 0.01 , 0.00 , 0.01 , 0.00 , 0.03 , 0.01 , 0.11 , 0.01 , 0.22 , 0.03 , 0.42 , 0.01 , 0.18 , 0.02 , 0.20 , 0.02 , 0.27 , 0.04 , 0.36 , 0.04 , 0.46 , 0.05 , 0.55 , 0.07 , 0.86 , 0.07 , 0.75 , 0.09 , 1.00 , 0.09 , 1.08 , 0.10 , 1.08 , 0.11 , 1.39 , 0.72 , 8.18 , 0.10 , 1.30 , 0.09 , 1.09 , 0.10 , 1.11 , 0.12 , 1.29 , 0.13 , 1.46 , 0.14 , 1.49 , 0.15 , 1.66 , 0.15 , 1.58 , 0.17 , 1.71 , 1.16 , 12.68 
2,NACH- National Automated Clearing House, 324.63 ," 1,196.97 "," 1,392.79 "," 3,715.09 ", 168.34 , 544.54 , 154.36 , 530.34 , 160.25 , 516.61 , 182.71 , 588.96 , 147.23 , 575.48 , 150.86 , 543.15 , 162.96 , 718.92 , 152.43 , 606.20 , 198.34 , 624.44 , 158.18 , 538.55 , 150.26 , 591.30 , 182.12 , 829.37 ," 1,968.03 "," 7,207.84 ", 212.63 , 905.15 , 194.26 , 691.82 , 196.92 , 730.73 , 204.28 , 771.99 , 204.70 , 750.84 , 175.96 , 629.48 , 187.04 , 902.49 , 197.50 , 858.38 , 191.06 , 716.74 , 208.10 , 731.80 , 198.34 , 851.13 , 204.56 ," 1,212.33 "," 2,375.33 "," 9,752.88 ", 250.17 ," 1,127.86 ", 224.82 , 866.39 , 222.59 , 999.36 , 242.09 ," 1,012.21 ", 246.32 ," 1,009.70 ", 220.62 , 934.25 , 233.53 ," 1,278.89 ", 232.48 ," 1,309.10 ", 232.85 ," 1,089.91 ", 229.45 ," 1,083.02 ", 249.86 ," 1,179.29 ", 276.61 ," 1,493.61 "," 2,861.38 "," 13,383.60 ", 322.43 ," 1,404.15 ", 261.50 ," 1,579.68 ", 252.13 ," 1,195.73 ", 257.93 ," 1,305.45 ", 285.10 ," 1,339.60 ", 263.60 ," 1,273.78 ", 334.62 ," 1,823.09 ", 258.96 ," 1,506.16 ", 255.77 ," 1,385.19 ", 345.25 ," 1,460.57 ", 269.26 ," 1,425.92 ", 295.21 ," 1,930.67 "," 3,401.77 "," 17,629.99 ", 530.53 ," 1,435.50 ", 252.34 ," 1,811.41 ", 309.76 ," 1,663.30 ", 266.40 ," 1,524.47 ", 340.83 ," 1,372.37 ", 271.57 ," 1,267.78 ", 245.55 ," 1,495.14 ", 253.87 ," 1,536.55 ", 325.27 ," 1,820.08 ", 283.11 ," 1,599.75 ", 213.40 ," 1,146.56 ", 333.57 ," 2,359.85 "," 3,626.20 "," 19,032.78 ", 253.66 ," 1,625.89 ", 372.26 ," 1,943.78 ", 317.23 ," 1,596.61 ", 262.15 ," 1,495.97 ", 336.81 ," 1,697.44 ", 253.33 ," 1,591.21 ", 342.35 ," 1,934.61 ", 311.23 ," 1,709.14 ", 320.09 ," 1,925.10 "," 2,769.12 "," 15,519.73 "
2.1,APBS Credit (Disbursement based on UIDAI No.), 168.43 , 61.43 , 717.46 , 185.98 , 72.31 , 19.40 , 66.62 , 16.59 , 72.47 , 18.46 , 78.05 , 21.70 , 74.68 , 42.87 , 75.35 , 13.57 , 81.27 , 13.29 , 78.12 , 16.76 , 90.51 , 22.75 , 86.46 , 24.05 , 81.19 , 27.15 , 92.25 , 50.04 , 949.28 , 286.63 , 109.80 , 60.74 , 108.15 , 49.79 , 106.76 , 44.14 , 114.50 , 45.56 , 110.94 , 41.13 , 93.15 , 28.39 , 105.65 , 40.23 , 111.78 , 49.18 , 113.75 , 53.77 , 120.31 , 55.73 , 101.48 , 45.72 , 101.90 , 45.24 ," 1,298.18 ", 559.65 , 137.16 , 85.31 , 120.85 , 52.07 , 117.80 , 70.03 , 126.58 , 68.06 , 128.31 , 73.08 , 108.53 , 64.11 , 119.11 , 72.13 , 125.05 , 95.33 , 129.05 , 76.13 , 125.54 , 54.14 , 127.06 , 72.16 , 129.85 , 79.71 ," 1,494.90 ", 862.26 , 168.20 , 139.03 , 144.15 , 83.16 , 134.47 , 82.41 , 122.05 , 71.00 , 141.68 , 69.06 , 121.82 , 51.81 , 154.88 , 103.58 , 136.13 , 68.83 , 136.68 , 59.85 , 150.88 , 94.05 , 139.81 , 88.69 , 124.37 , 79.27 ," 1,675.12 ", 990.73 , 230.92 , 189.68 , 115.20 , 142.22 , 136.95 , 117.44 , 117.91 , 89.44 , 119.20 , 82.73 , 105.39 , 61.97 , 95.88 , 55.07 , 92.47 , 43.82 , 101.35 , 81.32 , 121.93 , 84.43 , 83.18 , 47.37 , 112.29 , 110.14 ," 1,432.69 "," 1,105.64 ", 96.76 , 53.49 , 133.45 , 162.01 , 114.48 , 81.24 , 97.70 , 73.36 , 72.15 , 103.71 , 78.03 , 61.73 , 119.04 , 75.45 , 111.77 , 97.16 , 108.06 , 148.83 , 931.43 , 857.00 
2.2,ACH Debit, 3.33 , 57.80 , 24.28 , 503.77 , 3.80 , 71.13 , 4.39 , 79.80 , 4.99 , 95.97 , 5.61 , 103.16 , 6.20 , 105.04 , 6.78 , 110.37 , 7.42 , 134.74 , 8.32 , 149.01 , 9.10 , 153.07 , 9.90 , 150.67 , 10.51 , 162.56 , 11.38 , 164.33 , 88.39 ," 1,479.84 ", 12.16 , 165.97 , 13.11 , 181.19 , 13.99 , 195.15 , 15.07 , 199.75 , 15.87 , 212.15 , 16.74 , 217.18 , 17.83 , 237.06 , 18.79 , 248.37 , 20.10 , 260.67 , 21.40 , 285.07 , 22.46 , 280.47 , 23.53 , 305.99 , 211.05 ," 2,789.01 ", 24.26 , 301.80 , 25.92 , 315.78 , 26.61 , 331.64 , 27.72 , 336.44 , 29.28 , 352.55 , 37.01 , 399.85 , 38.72 , 427.65 , 39.54 , 437.20 , 41.47 , 471.98 , 42.72 , 471.81 , 43.38 , 462.04 , 44.40 , 485.84 , 421.03 ," 4,794.58 ", 45.73 , 487.44 , 46.60 , 495.50 , 47.68 , 493.87 , 50.00 , 513.68 , 52.02 , 509.76 , 51.88 , 509.66 , 51.59 , 522.27 , 52.23 , 527.92 , 53.15 , 541.71 , 53.61 , 551.08 , 54.10 , 550.13 , 52.38 , 550.23 , 610.95 ," 6,253.26 ", 41.36 , 353.51 , 40.72 , 354.00 , 43.10 , 436.41 , 46.53 , 456.46 , 47.26 , 453.26 , 50.73 , 532.31 , 50.81 , 535.24 , 51.74 , 540.16 , 52.03 , 577.67 , 53.52 , 573.70 , 49.50 , 493.39 , 61.89 , 623.75 , 589.19 ," 5,929.86 ", 56.32 , 567.27 , 54.97 , 564.81 , 55.79 , 601.14 , 57.73 , 613.03 , 58.76 , 620.68 , 59.97 , 626.75 , 59.52 , 641.54 , 62.40 , 646.76 , 65.68 , 683.47 , 531.17 ," 5,565.45 "
2.3,ACH Credit, 80.83 , 52.32 , 508.24 , 879.17 , 74.53 , 297.90 , 66.31 , 295.46 , 65.69 , 262.83 , 82.14 , 327.09 , 49.48 , 291.45 , 52.12 , 286.49 , 58.04 , 440.90 , 49.33 , 310.63 , 81.98 , 319.64 , 45.68 , 238.74 , 43.03 , 280.08 , 62.41 , 493.03 , 730.73 ," 3,844.25 ", 75.58 , 563.86 , 58.03 , 347.30 , 61.51 , 380.92 , 60.37 , 419.30 , 64.01 , 394.28 , 52.36 , 284.08 , 50.20 , 527.12 , 53.77 , 465.47 , 44.35 , 310.11 , 53.91 , 301.39 , 62.14 , 439.79 , 67.04 , 776.81 , 703.27 ," 5,210.42 ", 78.20 , 662.02 , 66.44 , 420.25 , 67.00 , 520.97 , 77.03 , 533.22 , 78.34 , 513.47 , 72.63 , 451.87 , 73.76 , 767.69 , 66.21 , 765.34 , 61.82 , 537.59 , 60.81 , 554.71 , 79.12 , 643.23 , 102.07 , 926.37 , 883.43 ," 7,296.73 ", 108.27 , 776.15 , 70.52 , 999.67 , 69.81 , 618.27 , 85.79 , 719.96 , 91.40 , 760.78 , 89.91 , 712.30 , 128.14 ," 1,197.24 ", 70.61 , 909.41 , 65.95 , 783.62 , 140.76 , 815.32 , 75.34 , 786.60 , 118.46 ," 1,301.06 "," 1,114.96 "," 10,380.40 ", 258.23 , 891.41 , 96.41 ," 1,314.72 ", 129.69 ," 1,108.96 ", 101.95 , 978.06 , 174.35 , 835.83 , 115.44 , 672.96 , 98.85 , 904.32 , 109.64 , 952.01 , 171.88 ," 1,160.54 ", 107.65 , 941.05 , 80.71 , 605.72 , 159.38 ," 1,625.81 "," 1,604.20 "," 11,991.37 ", 100.56 ," 1,004.16 ", 183.83 ," 1,216.43 ", 146.94 , 913.68 , 106.71 , 809.06 , 205.89 , 972.45 , 115.31 , 902.19 , 163.77 ," 1,217.08 ", 137.05 , 964.79 , 146.34 ," 1,092.77 "," 1,306.41 "," 9,092.61 "
2.4,NACH Credit, 72.04 ," 1,025.41 ", 115.17 ," 1,998.34 ", 1.47 , 27.05 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , 1.47 , 27.05 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.00 , 0.11 , 0.01 , 0.50 , 0.00 , 0.11 , 0.01 , 0.72 , 0.02 , 0.90 , 0.01 , 0.47 , 0.01 , 0.49 , 0.01 , 0.52 , 0.01 , 0.55 , 0.01 , 0.55 , 0.01 , 0.52 , 0.02 , 0.57 , 0.01 , 0.55 , 0.01 , 0.57 , 0.01 , 0.08 , 0.00 , 0.16 , 0.12 , 5.92 , 0.02 , 0.96 , 0.01 , 0.52 , 0.01 , 0.54 , 0.01 , 0.51 , 0.02 , 0.59 , 0.01 , 0.54 , 0.01 , 0.54 , 0.02 , 0.43 , 0.00 , 0.03 , 0.10 , 4.67 
2.5,NACH Debit, -   , -   , 27.63 , 147.83 , 16.24 , 129.06 , 17.03 , 138.48 , 17.09 , 139.35 , 16.91 , 137.01 , 16.87 , 136.12 , 16.62 , 132.73 , 16.23 , 129.98 , 16.65 , 129.79 , 16.75 , 128.98 , 16.15 , 125.09 , 15.53 , 121.51 , 16.08 , 121.97 , 198.16 ," 1,570.08 ", 15.10 , 114.58 , 14.98 , 113.54 , 14.66 , 110.51 , 14.34 , 107.38 , 13.88 , 103.28 , 13.71 , 99.83 , 13.35 , 98.08 , 13.15 , 95.35 , 12.85 , 92.19 , 12.48 , 89.61 , 12.25 , 85.15 , 12.10 , 84.29 , 162.84 ," 1,193.80 ", 10.54 , 78.74 , 11.61 , 78.29 , 11.18 , 76.71 , 10.75 , 74.49 , 10.40 , 70.60 , 2.45 , 18.41 , 1.93 , 11.42 , 1.69 , 11.24 , 0.51 , 4.21 , 0.38 , 2.36 , 0.29 , 1.86 , 0.29 , 1.68 , 62.02 , 430.03 , 0.23 , 1.54 , 0.23 , 1.35 , 0.17 , 1.18 , 0.10 , 0.81 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.72 , 4.87 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
